,Temp,Humid,Co2lvl,TVOC,Visible,Infrared,Acc_x,Acc_y,Acc_z
20:20,16.9,44.71,3072,0,194,67,9.5,-54,-9.5
20:30,16.92,44.29,3072,0,194,67,9.5,-51.5,-9.5
20:40,16.95,44.13,3072,0,194,67,7,-54,-7
20:50,16.96,43.98,3072,0,194,67,7,-54,-7
21:00,16.98,43.65,3072,0,193,67,9.5,-51.5,-7
21:10,17.02,43.81,3072,0,194,67,9.5,-51.5,-7
21:20,17.08,44.03,3072,0,194,67,11.5,-51.5,-9.5
21:30,17.09,44.14,3072,0,160,57,9.5,-54,-7
21:40,17.15,44.22,3072,0,194,67,11.5,-51.5,-7
21:50,17.16,44.26,3072,0,194,67,9.5,-54,-7
22:00,17.16,44.26,3072,0,194,67,9.5,-54,-7
